번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
32,20050,방범용,가로변,방아다리공원 주변(장당중학교 앞),-,장당동 632-1,37.0512,127.0622,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
33,55,방범용,가로변,신한이엔지 앞(원이충공원) / 주변에 A-429 공원 내 회전카메라 1대 있음,이충로100번길 63,서정동 808-11,37.0649,127.0648,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
34,56,방범용,가로변,홈쇼핑 DC아울렛 앞(이충초등학교 앞 공원) (도로 삼거리),이충로 96,서정동 805-2,37.0632,127.0662,양방향,N,N,N,CCTV,2022,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
35,4100,방범용,가로변,반지초교 후문 건너편(돌우물공원),-,이충동 676,37.0582,127.0694,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
36,58,방범용,가로변,장당공원 내 화장실 앞,-,이충동 615,37.0507,127.0576,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
37,20055,방범용,가로변,24시 편의점사랑 앞,-,송담리 738-24,36.9831,126.9292,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
38,60,방범용,가로변,"아이세상어린이집 앞, 경기물류고등학교 통학로",안중로114번길 21,안중리 293-47,36.9869,126.9286,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
39,4300,방범용,가로변,태경산업 입구 앞 삼거리,도일로 325,도일동 6,37.06,127.128,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
40,4303,방범용,가로변,주택 입구 앞,안골길 73,도일동 358,37.0616,127.1121,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
41,4306,방범용,가로변,토미하우스 앞,송탄로 342-23,지산동 862-1,37.0746,127.0587,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
42,4309,방범용,가로변,부락산문화공원 입구,지산로140번길 201,지산동 537-4,37.0749,127.0706,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
43,4312,방범용,가로변,주택 옆 주택가 진입로,탄현로351번길 70,신장동 183-8,37.0853,127.0567,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
44,4315,방범용,가로변,민헤어&네일아트 앞,지산1로 78,지산동 749-4,37.0819,127.0585,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
45,4318,방범용,가로변,주택 앞 사거리,밀월로20번길 15,신장동 263-159,37.0755,127.0532,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
46,8141,방범용,가로변,원룸빌라 앞,동고2길 24-4,동고리 148-11,37.0053,127.0461,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
47,8144,방범용,가로변,중앙골재 옆 사거리,동고3길 93,동고리 323-2,37.0057,127.0438,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
48,8148,방범용,가로변,마을 입구 삼거리(버스정류장),동청3길 102,해창리 1233-2,37.0379,127.0028,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
49,8151,방범용,가로변,주택 앞 삼거리,문곡3길 73,문곡리 147-9,37.0607,127.0052,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
50,8154,방범용,가로변,미래삼성컨설팅 옆,방축길 136,방축리 122-8,37.018,127.0479,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
51,8157,방범용,가로변,주택 앞 삼거리,방축5길 79,방축리 45-9,37.0103,127.0581,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
52,8160,방범용,가로변,유니크산업 앞 삼거리,해창1길 63,좌교리 750-24,37.0449,127.0079,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
53,8163,방범용,가로변,세븐일레븐 평택서재원룸점 건너편,서재7길 36,동삭동 687-1,37.0078,127.0922,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
54,8167,방범용,가로변,산울교회 입구 건너편,평남로 1022,동삭동 667-3,37.0103,127.0983,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
55,8170,방범용,가로변,GS25서재타운점 앞,서재6길 12,동삭동 707-5,37.0093,127.0975,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
56,8173,방범용,가로변,리더스하임 802동쪽 입구 건너편,-,비전동 1032,37.0047,127.1073,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
57,8177,방범용,가로변,평택동서울자동차정비공장 앞,만세로 1762,비전동 44-6,37.0104,127.1089,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
58,8181,방범용,가로변,성동초등학교 동문 옆,평택3로 64,비전동 613-5,36.9947,127.0942,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
59,8185,방범용,가로변,햇님어린이집 앞,중앙1로 81-1,비전동 625-8,36.997,127.092,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
60,8191,방범용,가로변,굿모닝빌 앞 쓰레기배출지,비전1로 15-5,비전동 794-15,37.0012,127.0943,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
61,8194,방범용,가로변,월곡식품 옆,월곡길 121,월곡동 63,37.0246,127.1408,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
62,8197,방범용,가로변,죽백1리 다목적회관 입구,방아다리길 55-14,죽백동 48-4,37.015,127.1376,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
63,8200,방범용,가로변,마을 뒤쪽 진출로 삼거리,-,청룡동 34-19,37.0297,127.1334,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
64,8203,방범용,가로변,하나비전교회 입구 건너편,팔각정길 8-1,비전동 807-3,36.9978,127.1028,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
65,8206,방범용,가로변,고덕성원공인중개사사무소 앞,서정로 119,서정동 558-16,37.0705,127.0489,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
66,8209,방범용,가로변,주택 앞 오거리,원적봉로 4,서정동 604-3,37.0759,127.0408,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
67,8213,방범용,가로변,영원빌리지 A동 앞 삼거리,용소금각로 457,금각리 270-1,37.0687,127.011,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
68,8216,방범용,가로변,서탄야구장 주변 교차로,-,금암리 162-1,37.1016,127.038,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
69,8220,방범용,가로변,원금암 삼거리,-,금암리 69-12,37.1041,127.0414,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
70,4186,방범용,가로변,"도미노피자 팽성점 건너편, 청담중학교 통학로(정문 옆 도로 2거리)",부용로56번길 29,남산리 103-4,36.9602,127.0632,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
71,581,방범용,가로변,개화식당 앞,통복시장로6번길 6,통복동 85-4,36.9957,127.0855,양방향,N,N,N,CCTV,2014,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
72,20302,방범용,가로변,동부공원 게이트볼장 주변 (공원 내),동부공원로 46,비전동 880,36.9943,127.1187,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
73,583,방범용,가로변,도곡근리공원 내 놀이터 앞,여술로 47,도곡리 1110,36.9896,126.8473,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
74,20304,방범용,가로변,"도곡근리공원 내, 도곡초 주변, 도곡중 통학로",여술로 47,도곡리 1110,36.9897,126.8484,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
75,20305,방범용,가로변,호랑이배꼽 양조장 사거리,-,평택동 39-7 내기리 산46-3,36.9705,126.8746,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
76,1406,방범용,가로변,현화6리 마을입구(학현2교차로 주변) (주택가 골목길 삼거리),안중읍 현화6길 28,현화리 651-15,36.9915,126.9148,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
77,1407,방범용,가로변,낙지육미 앞,안중로8번길 61,현화리 869-5,36.9814,126.9268,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
78,1408,방범용,가로변,에덴약국 약국 앞,안현로서5길 55,안중리 255-1,36.9882,126.9275,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
79,1409,방범용,가로변,포승그린마트 앞 (도로 2거리),포승남로 519,방림리 57-15,36.9798,126.8806,양방향,N,N,N,CCTV,2021,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
80,1410,방범용,가로변,도곡5리 마을입구 (삼거리),-,도곡리 950,36.9857,126.8754,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
81,1411,방범용,가로변,래은7차 빌라 앞(철길 옆),탄현1로124번길 33-1,서정동 552-40,37.0718,127.0544,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
82,1412,방범용,가로변,서원아파트 101동 뒷편 후문 앞 (골목길 삼거리),가곡5길 120-11,가곡리 380,37.1171,127.0741,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
83,1413,방범용,가로변,적봉리마을회관 앞 (마을입구 삼거리),적봉길 12-1,적봉리 384-8,37.0984,127.0323,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
84,1414,방범용,가로변,콩콩이자연미술체험장 앞 (삼거리),내천길 193,내천리 248,37.1222,127.0088,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
85,1415,방범용,가로변,동창식당 앞,고덕북로 256,문곡리 476,37.0682,127.0159,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
86,4693,방범용,가로변,마을 뒤쪽 진출로 삼거리,경성2길 65,안중리 72-83,36.9866,126.9402,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
87,4696,방범용,가로변,마을 입구 삼거리,용성3길 212-8,학현리 69-34,37.0024,126.9303,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
88,4699,방범용,가로변,마을 진입로 삼거리,-,삼정리 291-34,36.9641,126.9491,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
89,4702,방범용,가로변,금곡오일전문점 앞,서해로 1218,금곡리 549-5,37.0016,126.9442,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
90,4705,방범용,가로변,신영2리 버스정류장 옆,-,신영리 707-9,36.9395,126.8891,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
91,4708,방범용,가로변,석정1리 버스정류장 옆,-,석정리 967-3,36.9917,126.8807,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
92,4711,방범용,가로변,서안빌딩 뒷편 삼거리,-,석정리 산245-5,36.9833,126.8818,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
93,4714,방범용,가로변,홍원3리 마을회관 앞,홍원길 32,홍원리 266-115,37.0165,126.8678,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
94,4717,방범용,가로변,마을 진입로,-,후사리 105-19,37.0364,126.9377,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
95,4720,방범용,가로변,오성빌리지 입구 삼거리,원숙성2길 52,숙성리 77-34,37.0112,126.9809,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
96,4723,방범용,가로변,기산3리 마을회관 옆,기산3길 24,기산리 720-3,36.9306,126.9285,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
97,4726,방범용,가로변,기산1리 마을 입구 표지판 앞,기산1길 3,도대리 69-5,36.9497,126.9127,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
98,4729,방범용,가로변,권관1리 마을회관 주변 삼거리,권관길 109,권관리 608-1,36.9202,126.9097,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
99,4732,방범용,가로변,도로끝 표지판 옆,포승원정5길 71,원정리 290-19,36.998,126.8405,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
100,3982,방범용,가로변,그린빌라 입구 앞,남산로25번길 49,신장동 627-7,37.0843,127.0453,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
101,3983,방범용,가로변,클라우드9 입구 주변 (한전주) (도로 2거리),목천로 65-35,신장동 403-4,37.0872,127.0541,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
102,3986,방범용,가로변,신장1동주민센터 입구 옆 삼거리,목천로25번길 50-2,신장동 327-45,37.0842,127.0527,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
103,3988,방범용,가로변,송탄건설중기 주변,-,신장동 66-13,37.0878,127.0553,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
104,3989,방범용,가로변,다올하우스B동 앞 (한전주),목천로17번길 101,신장동 396-13,37.0873,127.0525,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
105,3990,방범용,가로변,더프라임32 D동 앞,남산로65번길 46-3,신장동 598,37.0874,127.0459,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
106,3991,방범용,가로변,신우빌리지 앞 삼거리,-,신장동 53-3,37.089,127.0523,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
107,3994,방범용,가로변,명보자원 옆 사거리,-,신장동 48-15,37.0914,127.0557,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
108,6569,방범용,가로변,"지키어린이집 옆 놀이터 내, 장당동 제일풍경채",-,장당동 469-2,37.0478,127.0573,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
109,4758,방범용,가로변,내리문화공원 내,-,내리 18-2,36.5829,127.0151,양방향,N,N,N,CCTV,2017,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
110,4828,방범용,가로변,청산빌라 옆,금곡4길 2,금곡리 413-6,36.9959,126.9511,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
111,4831,방범용,가로변,객사6리 다목적회관 주변,동서촌로 161-10,객사리 61-7,36.9674,127.0667,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
112,62,방범용,가로변,행운정 앞 (주택가 사거리),안중로 130-6,안중리 293-34,36.9881,126.931,양방향,N,N,N,CCTV,2022,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
113,63,방범용,가로변,"글라스스토리 앞 사거리, 안일중학교 통학로",안현로서6길 38,현화리 45,36.9846,126.9246,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
114,64,방범용,가로변,"현화근린공원 사거리, 늘푸른유치원",안현로서8길 39,현화리 834-1,36.9797,126.9208,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
115,65,방범용,가로변,"안중초등학교 주변, 어린이보호구역 도로 사거리",-,안중리 243-4,36.9887,126.9274,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
116,66,방범용,가로변,조은약국 앞,안중로131번길 6,안중리 292-52,36.9892,126.9311,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
117,67,방범용,가로변,서울의원 앞 상가 사거리,안현로서2길 20,안중리 290-4,36.9881,126.9295,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
118,68,방범용,가로변,우리열쇠 앞 (도로삼거리),안현로서3길 44,안중리 252-21,36.9874,126.9265,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
119,69,방범용,가로변,안중의료기 앞(구 버스터미널 앞) (도로 2거리),안중로 134,안중리 295-6,36.9887,126.9314,양방향,N,N,N,CCTV,2020,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
120,6105,방범용,가로변,양교사거리,-,양교리 204-14,37.0237,126.9797,양방향,N,N,N,CCTV,2018,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
121,71,방범용,가로변,안중농협 청북지점 사거리,신포길 52,현곡리 297-1,37.0403,126.9355,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
122,72,방범용,가로변,훈융빌딩 입구 앞,-,현화리 836-5,36.9787,126.923,양방향,N,N,N,CCTV,2019,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
123,73,방범용,가로변,정다운공인중개사사무소 앞,안현로서3길 94,현화리 297-1,36.9878,126.9208,양방향,N,N,N,CCTV,2022,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
124,74,방범용,가로변,긴등골공원 사거리,안중로18번길 22,현화리 856-1,36.9833,126.927,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
125,75,방범용,가로변,안일초 후문 (인도 2거리),-,현화리 843-3,36.9826,126.9237,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
126,76,방범용,가로변,안중근린공원 입구 대로변 횡단보도 앞 (도로 2거리),현화중앙길 75,현화리 823-2,36.9845,126.9194,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
127,77,방범용,가로변,평택현화우체국 사거리,안현로서6길 74,현화리 334-1,36.9845,126.921,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
128,78,방범용,가로변,노스마트 평택안중점 사거리,서동대로 1486,현화리 634-5,36.9894,126.9162,양방향,N,N,N,CCTV,2016,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
129,79,방범용,가로변,"현덕우체국 앞, 시립현덕 유치원",안현로 150,도대리 17-125,36.9655,126.9192,양방향,N,N,N,CCTV,2015,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
130,978,방범용,가로변,도두리 마을 입구 (도로 2거리),팽성서로 176,도두리 15-19,36.9569,127.0093,양방향,N,N,N,CCTV,2022,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
131,979,방범용,가로변,미니스톱 안정순환로점 앞 (주택가 삼거리),안정순환로 240,안정리 31-5,36.9617,127.0448,양방향,N,N,N,CCTV,2014,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
132,980,방범용,가로변,마을 골목길 사거리,포승원정길 99,원정리 221-86,37.0001,126.8386,양방향,N,N,N,CCTV,2014,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
133,981,방범용,가로변,원정4리 다목적 마을회관 앞 사거리,포승원정길 94,원정리 281-47,36.9979,126.8389,양방향,N,N,N,CCTV,2014,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
134,20563,방범용,가로변,CU 평택포승원룸점 앞 삼거리,여술4길 65,도곡리 1138-5,36.9896,126.8462,양방향,N,N,N,CCTV,2014,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
135,998,방범용,가로변,뉴그린하이츠빌 102동 앞(지장초교 사거리),지장로 14,서정동 823-12,37.0673,127.0583,양방향,N,N,N,CCTV,2021,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
136,992,방범용,가로변,창신초교 정문 앞,오성면 창신뜰길 138,신리 59-1,37.0047,127.0072,양방향,N,N,N,CCTV,2021,2022-05-30,Y,평택시청,031-8024-5295,2022-05-30
