번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
21,3054,약자보호,가로변,공영주차장앞복산초,울산광역시 중구 장춘로153,울산광역시 중구 복산동 509,35.55845384,129.3248586,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
22,3015,약자보호,가로변,글로리아맨션앞,울산광역시 중구 내황13길8,울산광역시 중구 반구동 592-26,35.55418744,129.3467494,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
23,3003,약자보호,가로변,다운초통문장영어,울산광역시 중구 다운2길1,울산광역시 중구 다운동 776-9,35.56272772,129.2676843,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
24,3002,약자보호,가로변,다전초신호기옆,,울산광역시 중구 다운동 667-2,35.5683466,129.2692623,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
25,3025,약자보호,가로변,학성초,울산광역시 중구 염포로19,울산광역시 중구 남외동 1031-9,35.55960734,129.3436325,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
26,3098,약자보호,가로변,신진카센터앞양사초,,울산광역시 중구 교동 368-2,35.55763049,129.3170704,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
27,3005,약자보호,가로변,명정초명정공원,,울산광역시 중구 태화동 714-8,35.55223364,129.2907646,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
28,3096,약자보호,가로변,선경유치원인근,울산광역시 중구 우정3길9,울산광역시 중구 우정동 385,35.55895837,129.3087922,양방향,Y,N,N,,2018,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
29,3090,약자보호,가로변,우정성당앞,울산광역시 중구 우정3길20,울산광역시 중구 우정동 389-13,35.55955027,129.3108218,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
30,3089,약자보호,가로변,우정초우진아파트앞,,울산광역시 중구 우정동 705,35.56012295,129.3076984,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
31,3078,약자보호,가로변,무룡초정문좌측,,울산광역시 중구 약사동 762,35.57012954,129.3346834,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
32,3037,약자보호,가로변,병영초정문,울산광역시 중구 고복수1길29,울산광역시 중구 서동 276-1,35.57415777,129.3450948,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
33,3026,약자보호,가로변,남외푸르지오2차입구,울산광역시 중구 남외3길50,울산광역시 중구 남외동 502-1,35.56649983,129.3491332,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
34,1255,방범용,가로변,공영주차장앞,울산광역시 중구 우암1길20,울산광역시 중구 우정동 274-14,35.55596938,129.3130885,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
35,1292,방범용,가로변,번영장여관앞,울산광역시 중구 옥교로13,울산광역시 중구 옥교동 318-4,35.5526224,129.3252298,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
36,1235,방범용,가로변,주택앞,,울산광역시 중구 약사동 800-32,35.57070509,129.3346845,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
37,1205,방범용,가로변,성동마을내,,울산광역시 중구 성안동 1050-1,35.58761613,129.3044007,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
38,1278,방범용,가로변,CU편의점앞,울산광역시 중구 중앙3길11,울산광역시 중구 성남동 190-65,35.55455985,129.3168798,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
39,1268,방범용,가로변,은빛세공앞,울산광역시 중구 학성로86,울산광역시 중구 성남동 43-3,35.55500076,129.3205326,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
40,1141,방범용,가로변,동서식품앞,울산광역시 중구 병영성10길22,울산광역시 중구 서동 161-7,35.57683601,129.3456022,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
41,1296,방범용,가로변,대영빌라앞,,울산광역시 중구 복정동 106-6,35.55968959,129.3222803,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
42,1275,방범용,가로변,울산기상대앞,,울산광역시 중구 북정동 315-4,35.56037053,129.3203125,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
43,1186,방범용,가로변,복산2동주민센터앞,울산광역시 중구 도화골4길2,울산광역시 중구 복산동 192-8,35.56611536,129.3339569,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
44,1185,방범용,가로변,복산초남동측,울산광역시 중구 도화골15길25,울산광역시 중구 복산동 84-13,35.56316948,129.3320659,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
45,1172,방범용,가로변,평창할인마트앞,울산광역시 중구 푸름길86,울산광역시 중구 복산동 620-3,35.56206872,129.3257753,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
46,1083,방범용,가로변,우리들마트앞,울산광역시 중구 구교1길10,울산광역시 중구 반구동 250-2,35.5608868,129.3399884,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
47,1082,방범용,가로변,세영빌라앞,울산광역시 중구 서원9길36,울산광역시 중구 반구동 108-9,35.55881008,129.3378044,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
48,1081,방범용,가로변,동광세탁앞,울산광역시 중구 서원1길11,울산광역시 중구 반구동 63-28,35.56290696,129.3356211,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
49,1080,방범용,가로변,화용세탁앞,울산광역시 중구 구교6길67,울산광역시 중구 반구동 24-7,35.56533628,129.3415678,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
50,1062,방범용,가로변,언양식육점앞,울산광역시 중구 반구정14길25,울산광역시 중구 반구동 453-39,35.55806103,129.3442422,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
51,1055,방범용,가로변,수정세탁앞,울산광역시 중구 내황16길26,울산광역시 중구 반구동 771-21,35.55316138,129.3459317,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
52,1054,방범용,가로변,울산중앙여고인근,울산광역시 중구 내황10길16,울산광역시 중구 반구동 770-7,35.55375765,129.3433314,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
53,1053,방범용,가로변,공영주차장앞,울산광역시 중구 반구정1길36,울산광역시 중구 반구동 582-1,35.55709248,129.3420217,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
54,1052,방범용,가로변,반구팔팔슈퍼앞,울산광역시 중구 반구정6길31,울산광역시 중구 반구동 458-4,35.55683082,129.3450762,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
55,1140,방범용,가로변,백송빌옆,울산광역시 중구 병영2길51,울산광역시 중구 동동 627,35.57436324,129.3471813,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
56,1139,방범용,가로변,강남로얄파크앞,울산광역시 중구 산전길78-8,울산광역시 중구 동동 346-13,35.57539389,129.3509997,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
57,1138,방범용,가로변,온누리교회옆,울산광역시 중구 산전길101,울산광역시 중구 동동 151-2,35.57672336,129.3498899,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
58,1401,방범용,가로변,도로 앞,,울산광역시 중구 약사동 855,35.57263915,129.3359791,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
59,1400,방범용,가로변,약사고앞,,울산광역시 중구 약사동 891-2,35.5734999,129.3347676,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
60,1399,방범용,가로변,도로 앞,,울산광역시 중구 약사동 891-2,35.57228718,129.3340816,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
61,1425,방범용,가로변,문화의전당앞공원,울산광역시 중구 종가로405,울산광역시 중구 성안동 244,35.56754218,129.3215364,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
62,1212,방범용,가로변,풍암마을삼거리,울산광역시 중구 풍암길228,울산광역시 중구 성안동 1439,35.58864695,129.2954423,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
63,1211,방범용,가로변,햇빛약국앞,울산광역시 중구 함월6길66,울산광역시 중구 성안동 852-7,35.57512952,129.3081617,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
64,1421,방범용,가로변,KCC스위첸207동남동측,,울산광역시 중구 서동 613,35.58033762,129.3416779,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
65,1419,방범용,가로변,종가로약사마을교차로,,울산광역시 중구 서동 610,35.579294,129.3396378,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
66,1411,방범용,가로변,외솔중동측,,울산광역시 중구 서동 623,35.58416385,129.344453,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
67,1410,방범용,가로변,외솔초남동측,,울산광역시 중구 서동 621,35.58367236,129.3426444,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
68,3112,약자보호,가로변,학성경로당건너편,울산광역시 중구 구교로87,울산광역시 중구 학성동 354-3,35.55592565,129.3343492,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
69,3112,약자보호,가로변,학성경로당건너편,울산광역시 중구 구교로87,울산광역시 중구 학성동 354-3,35.55592565,129.3343492,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
70,3051,약자보호,가로변,부성기사식당옆,울산광역시 중구 학성1길61,울산광역시 중구 학성동 375-6,35.55751746,129.3327328,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
71,3055,약자보호,가로변,울산교회앞,,울산광역시 중구 학산동 91-1,35.55906281,129.3275282,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
72,3092,약자보호,가로변,평화빌라앞양지유치원,울산광역시 중구 우정2길6,울산광역시 중구 우정동 409-8,35.55901908,129.3128717,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
73,3091,약자보호,가로변,우정동코아루,,울산광역시 중구 우정동 282-56,35.55483769,129.3116891,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
74,3069,약자보호,가로변,성안초후문내리막길회전,울산광역시 중구 함월14길19,울산광역시 중구 성안동 797-1,35.57656119,129.3124344,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
75,3068,약자보호,가로변,대협팔래스아파트,울산광역시 중구 함월15길51,울산광역시 중구 성안동 792-1,35.57853109,129.3120163,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
76,3067,약자보호,가로변,한신파크앞월드키즈어린이집,울산광역시 중구 백양로104,울산광역시 중구 성안동 513-8,35.57348568,129.3175512,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
77,3039,약자보호,가로변,병영초서측,울산광역시 중구 병영성9길19,울산광역시 중구 서동 337,35.57562046,129.3437378,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
78,3038,약자보호,가로변,월마트앞삼일초,,울산광역시 중구 서동 39-1,35.58234871,129.3465478,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
79,3033,약자보호,가로변,한솔그린빌라앞삼거리,,울산광역시 중구 서동 35-16,35.58256687,129.3448808,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
80,3061,약자보호,가로변,혜화유치원앞,울산광역시 중구 서원길22,울산광역시 중구 복산동 38-12,35.56173008,129.3347257,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
81,3017,약자보호,가로변,내황초정문,울산광역시 중구 내황13길53,울산광역시 중구 반구동 395,35.55231275,129.348972,양방향,Y,N,N,,2015,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
82,3016,약자보호,가로변,행복한집앞파랑새어린이집,울산광역시 중구 반구정18길7,울산광역시 중구 반구동 874-21,35.56013664,129.3485026,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
83,3036,약자보호,가로변,은성유치원,울산광역시 중구 산전1길5,울산광역시 중구 동동 458-10,35.57238993,129.3504514,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
84,3004,약자보호,가로변,다운초,,울산광역시 중구 다운동 776-9,35.56271266,129.2676843,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
85,3027,약자보호,가로변,태웅한옥빌라앞명희어린이집,울산광역시 중구 해오름4길32,울산광역시 중구 남외동 1000-1,35.5639802,129.3436556,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
86,3099,약자보호,가로변,주택앞사거리,울산광역시 중구 초은길44,울산광역시 중구 교동 257-7,35.55908572,129.3177589,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
87,3113,약자보호,가로변,옥성사거리옥성초,울산광역시 중구 옥교3길155,울산광역시 중구 학성동 190-12,35.55326906,129.3359959,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
88,3093,약자보호,가로변,우정초아리랑분식앞,울산광역시 중구 우정7길5,울산광역시 중구 우정동 394-52,35.55989065,129.3092282,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
89,3057,약자보호,가로변,이안들꽃유치원,울산광역시 중구 북부순환도로572,울산광역시 중구 북정동 174-4,35.56232388,129.3229085,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
90,3001,약자보호,가로변,무궁화공원내,울산광역시 중구 다운5길40,울산광역시 중구 다운동 765-2,35.56492694,129.2668323,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
91,3115,약자보호,가로변,파랑새생태유치원,울산광역시 중구 학성공원5길5,울산광역시 중구 학성동 84-12,35.5516393,129.3399291,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
92,3114,약자보호,가로변,강변측부평빌라인근,울산광역시 중구 옥교로105,울산광역시 중구 학성동 189-14,35.55179822,129.3354586,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
93,3104,약자보호,가로변,청호빌라앞,울산광역시 중구 신기4길16,울산광역시 중구 태화동 472-3,35.55067031,129.296299,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
94,3007,약자보호,가로변,명정초,울산광역시 중구 명난로114,울산광역시 중구 태화동 736-20,35.55285766,129.288273,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
95,3103,약자보호,가로변,탑마트앞,,울산광역시 중구 유곡동 111-26,35.5586687,129.3035647,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
96,3072,약자보호,가로변,영광예능어린이집,울산광역시 중구 함월22길13,울산광역시 중구 성안동 387-19,35.57874536,129.3169891,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
97,3071,약자보호,가로변,백양초,울산광역시 중구 성안10길20,울산광역시 중구 성안동 489-1,35.5780878,129.3202704,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
98,3070,약자보호,가로변,성안초,울산광역시 중구 함월14길31,울산광역시 중구 성안동 794-9,35.57706961,129.3128215,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
99,3040,약자보호,가로변,세화매일유통건너편제니유치원,울산광역시 중구 고복수길1,울산광역시 중구 서동 463-1,35.57327125,129.3457721,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
100,3035,약자보호,가로변,삼일초남동,,울산광역시 중구 서동 45-8,35.58112872,129.3461201,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
101,1409,방범용,가로변,외솔중삼거리,,울산광역시 중구 서동 610,35.58442746,129.3420542,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
102,1408,방범용,가로변,다벗공원,,울산광역시 중구 서동 597-4,35.58165863,129.3379934,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
103,1407,방범용,가로변,KCC사택뒤성안진입로,,울산광역시 중구 서동 601-1,35.5803452,129.3377615,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
104,1144,방범용,가로변,꼬마성어린이집,울산광역시 중구 고복수1길24,울산광역시 중구 서동 276-1,35.57370208,129.3455694,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
105,1427,방범용,가로변,바이오화학실용화센터옆소공원,,울산광역시 중구 북정동 135-1,35.56241451,129.3206623,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
106,1426,방범용,가로변,동서발전정문앞,,울산광역시 중구 북정동 217,35.56678116,129.3206158,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
107,1428,방범용,가로변,한국산업안전공단본사동측,,울산광역시 중구 복산동 232-4,35.56641593,129.3248132,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
108,1424,방범용,가로변,동덕현대아파트103동건너편,울산광역시 중구 종가8길11,울산광역시 중구 복산동 232-7,35.56669196,129.3254729,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
109,1398,방범용,가로변,중구청건너편사거리,,울산광역시 중구 복산동 279-13,35.56981711,129.3307595,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
110,1397,방범용,가로변,카페베네앞,,울산광역시 중구 복산동 295-1,35.56799852,129.3283865,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
111,1396,방범용,가로변,도로 앞,,울산광역시 중구 복산동 279-3,35.567044,129.3265563,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
112,1395,방범용,가로변,한국전기안전공사건너편,,울산광역시 중구 복산동 230,35.56655039,129.3250459,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
113,1394,방범용,가로변,울산중,울산광역시 중구 종가7길6,울산광역시 중구 복산동 705,35.5657499,129.3235692,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
114,1195,방범용,가로변,동산떡방앗간,울산광역시 중구 도화골15길1-13,울산광역시 중구 복산동 361-31,35.5636674,129.3296906,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
115,1194,방범용,가로변,자유빌라B동옆,울산광역시 중구 서원4길32,울산광역시 중구 복산동 37-14,35.56157462,129.3340806,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
116,1089,방범용,가로변,골목길회전,울산광역시 중구 구교3길23-1,울산광역시 중구 반구동 46-15,35.56316277,129.3407674,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
117,1088,방범용,가로변,사거리진주영재어린이집,울산광역시 중구 서원7길13,울산광역시 중구 반구동 102-1,35.56053577,129.3377864,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
118,1069,방범용,가로변,반구경로당,울산광역시 중구 반구정5길3,울산광역시 중구 반구동 587-7,35.55511082,129.3441857,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
119,1027,방범용,가로변,다운아파트103동뒤편,,울산광역시 중구 다운동 769-1,35.56416196,129.2681665,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
120,1430,방범용,가로변,도로 앞,,울산광역시 중구 교동 101,35.56333528,129.3168436,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
121,1429,방범용,가로변,도로 앞,,울산광역시 중구 교동 19-1,35.56540829,129.3157907,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
122,1126,방범용,가로변,성산교회,울산광역시 중구 병영4길19,울산광역시 중구 남외동 138,35.57083945,129.3477636,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
123,1178,방범용,가로변,동아파크맨션앞,울산광역시 중구 한울길11,울산광역시 중구 복산동 460-2,35.56055145,129.3270541,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
124,1436,방범용,가로변,전원타운아파트101동앞,,울산광역시 중구 태화동 690-1,35.54991074,129.2912822,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
125,1148,방범용,가로변,병영성,울산광역시 중구 병영16길20,울산광역시 중구 동동 65-28,35.57687512,129.3475823,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
126,1238,방범용,가로변,이화어린이집앞더?氷柰貶?,울산광역시 중구 평산3길22,울산광역시 중구 약사동 600-15,35.56971592,129.3371624,양방향,Y,N,N,,2016,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
127,1309,방범용,가로변,영광제일교회북동측,울산광역시 중구 옥교3길76,울산광역시 중구 학산동 15-4,35.55346132,129.3298856,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
128,1438,방범용,가로변,태화시장회도매센터앞,울산광역시 중구 화진4길20,울산광역시 중구 태화동 23-7,35.55591327,129.3077408,양방향,Y,N,N,,2017,2021-10-01,Y,울산중구청,052-290-4083,2021-10-01
