시군명,관서명,지방청명,경찰서명,구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
고양시,화정,경기북부청,고양,지구대,10498,경기도 고양시 덕양구 화정동 960번지,경기도 고양시 덕양구 은빛로 80,37.63702309,126.8366777
과천시,별양,경기남부청,과천,지구대,13834,경기도 과천시 별양동 11번지,경기도 과천시 별양로 58,37.42401998,126.9936181
과천시,과천,경기남부청,과천,지구대,13803,경기도 과천시 중앙동 68번지,경기도 과천시 관문로 136,37.43307506,126.993391
광명시,하안,경기남부청,광명,지구대,14248,경기도 광명시 하안동 650-5번지 하안지구대,경기도 광명시 범안로 1027,37.46146232,126.8772944
광명시,철산,경기남부청,광명,지구대,14232,경기도 광명시 철산동 241-3번지 철산지구대,경기도 광명시 철산로29번길 16,37.47793237,126.8689234
광명시,소하,경기남부청,광명,지구대,14317,경기도 광명시 소하동 1310번지 소하지구대,경기도 광명시 금하로 500,37.44982349,126.8882083
광명시,광명,경기남부청,광명,파출소,14286,경기도 광명시 광명동 158-834번지 광명파출소,경기도 광명시 오리로991번길 6,37.47923741,126.8527653
광명시,광남,경기남부청,광명,지구대,14281,경기도 광명시 광명동 752-4번지 광남지구대,경기도 광명시 광명로 772,37.46885245,126.8485131
광주시,초월,경기남부청,광주,파출소,12735,경기도 광주시 초월읍 대쌍령리 211-6번지,경기도 광주시 초월읍 경충대로 1243,37.38569832,127.2883675
광주시,남한산성,경기남부청,광주,파출소,12700,경기도 광주시 남한산성면 산성리 401-2번지,경기도 광주시 남한산성면 남한산성로 757,37.47768596,127.1861769
광주시,도척,경기남부청,광주,파출소,12815,경기도 광주시 도척면 노곡리 283-8번지,경기도 광주시 도척면 도척로 603,37.30009865,127.3313315
광주시,태전,경기남부청,광주,파출소,12784,경기도 광주시 태전동 232-1번지,경기도 광주시 태봉로 46,37.3893939,127.2294252
광주시,퇴촌,경기남부청,광주,파출소,12711,경기도 광주시 퇴촌면 광동리 237-2번지,경기도 광주시 퇴촌면 광동로 45,37.4707223,127.3078061
광주시,오포서부,경기남부청,광주,파출소,12773,경기도 광주시 오포읍 능평리 133번지,경기도 광주시 오포읍 오포로171번길 3,37.34695536,127.1827325
광주시,경안,경기남부청,광주,지구대,12755,경기도 광주시 경안동 72-2번지,경기도 광주시 중앙로 137,37.41163872,127.2565562
광주시,곤지암,경기남부청,광주,파출소,12804,경기도 광주시 곤지암읍 곤지암리 430-5번지,경기도 광주시 곤지암읍 곤지암로 38,37.34964979,127.3425851
광주시,오포동부,경기남부청,광주,파출소,12790,경기도 광주시 오포읍 추자리 105-7번지,경기도 광주시 오포읍 오포로 869,37.36772984,127.2313921
구리시,토평,경기북부청,구리,지구대,11940,경기도 구리시 수택동 851-3번지,경기도 구리시 체육관로74번길 55,37.59125359,127.1411534
구리시,교문,경기북부청,구리,지구대,11934,경기도 구리시 교문동 736-3번지,경기도 구리시 안골로 40,37.59683715,127.1354794
구리시,인창,경기북부청,구리,지구대,11921,경기도 구리시 인창동 671-2번지,경기도 구리시 건원대로34번길 31,37.60536264,127.141372
구리시,수택,경기북부청,구리,파출소,11931,경기도 구리시 수택동 493-5번지,경기도 구리시 검배로71번길 12-5,37.59639103,127.147119
군포시,산본,경기남부청,군포,지구대,15820,경기도 군포시 산본동 1105-4번지,경기도 군포시 수리산로203번길 51,37.36775473,126.9265689
군포시,송부,경기남부청,군포,파출소,15880,경기도 군포시 부곡동 1111-1,경기도 군포시 번영로 6-4,37.32270267,126.939792
군포시,대야,경기남부청,군포,파출소,15887,경기도 군포시 대야미동 654-1번지,경기도 군포시 대야1로24번길 4,37.32775236,126.917425
군포시,군포,경기남부청,군포,지구대,15860,경기도 군포시 당동 775-18번지,경기도 군포시 군포로 511,37.35208729,126.9445078
군포시,금정,경기남부청,군포,파출소,15812,경기도 군포시 금정동 904번지,경기도 군포시 군포로683번길 31,37.3655572,126.9439781
김포시,사우,경기남부청,김포,지구대,10108,경기도 김포시 사우동 246번지,경기도 김포시 사우중로 35-5,37.61841567,126.717687
김포시,양촌,경기남부청,김포,파출소,10057,경기도 김포시 양촌읍 양곡리 449-8번지,경기도 김포시 양촌읍 양곡1로68번길 3,37.65668446,126.6233905
김포시,대곶,경기남부청,김포,파출소,10039,경기도 김포시 대곶면 율생리 451-1번지,경기도 김포시 대곶면 율생로 72,37.65079393,126.5839753
김포시,하성,경기남부청,김포,파출소,10011,경기도 김포시 하성면 마곡리 623-1번지,경기도 김포시 하성면 애기봉로 847,37.71973301,126.6317004
김포시,김포T,경기남부청,김포,파출소,10135,경기도 김포시 고촌읍 전호리 68-10번지,경기도 김포시 고촌읍 아라육로152번길 56,37.59619689,126.7849644
김포시,풍무,경기남부청,김포,파출소,10113,경기도 김포시 풍무동 154-6(풍무2지구),,37.60699763,126.7279344
김포시,장기,경기남부청,김포,파출소,10080,경기도 김포시 장기동 1326번지,경기도 김포시 청송로 36,37.64834968,126.6677266
김포시,고촌,경기남부청,김포,파출소,10129,경기도 김포시 고촌읍 신곡리 1076번지,경기도 김포시 고촌읍 김포대로 347,37.60135693,126.7694919
김포시,월곶,경기남부청,김포,파출소,10024,경기도 김포시 월곶면 군하리 214번지,경기도 김포시 월곶면 군하로276번길 13,37.7165364,126.5520873
김포시,통진,경기남부청,김포,파출소,10019,경기도 김포시 통진읍 마송리 111-19번지,경기도 김포시 통진읍 조강로 83,37.69215046,126.5975636
남양주시,화도,경기북부청,남양주,지구대,12184,경기도 남양주시 화도읍 창현리 736-3번지,경기도 남양주시 화도읍 창현로 8,37.65022088,127.3057736
남양주시,별내,경기북부청,남양주,파출소,12105,경기도 남양주시 별내동 937번지,경기도 남양주시 두물로 11,37.65552774,127.1260645
남양주시,다산,경기북부청,남양주,파출소,12259,경기도 남양주시 경춘로 경춘로439-1,,37.65552774,127.1260645
남양주시,와부,경기북부청,남양주,파출소,12210,경기도 남양주시 와부읍 덕소리 462-18번지,경기도 남양주시 와부읍 덕소로 63,37.58726093,127.2098364
남양주시,호평,경기북부청,남양주,파출소,12151,경기도 남양주시 호평동 670번지,경기도 남양주시 호평로68번길 11,37.65505731,127.2483841
남양주시,평내,경기북부청,남양주,파출소,12217,경기도 남양주시 평내동 438-12번지,경기도 남양주시 경춘로 1211,37.64491399,127.2295871
남양주시,금곡,경기북부청,남양주,파출소,12237,경기도 남양주시 금곡동 420-1번지,경기도 남양주시 금곡로 57,37.63422055,127.2093662
남양주시,청학,경기북부청,남양주,파출소,12083,경기도 남양주시 별내면 청학리 412-1번지,경기도 남양주시 별내면 청학로68번길 8,37.70790724,127.1197552
남양주시,진접,경기북부청,남양주,파출소,12006,경기도 남양주시 진접읍 장현리 351-34번지,경기도 남양주시 진접읍 장현로 113,37.71996207,127.183948
남양주시,오남,경기북부청,남양주,파출소,12049,경기도 남양주시 오남읍 오남리 259-2번지,경기도 남양주시 오남읍 진건오남로 595-14,37.68677235,127.2102827
남양주시,조안,경기북부청,남양주,파출소,12282,경기도 남양주시 조안면 조안리 192-14번지,경기도 남양주시 조안면 북한강로 131,37.53679662,127.3024178
남양주시,수동,경기북부청,남양주,파출소,12029,경기도 남양주시 수동면 입석리 341-3번지,경기도 남양주시 수동면 비룡로 808,37.70955161,127.3219597
남양주시,해밀,경기북부청,남양주,파출소,12053,경기도 남양주시 진접읍 금곡리 1012번지,경기도 남양주시 진접읍 해밀예당1로 251,37.72207271,127.2046644
남양주시,진건,경기북부청,남양주,파출소,12139,경기도 남양주시 진건읍 사능리 600-8번지,경기도 남양주시 진건읍 진건오남로 5,37.65133468,127.178648
남양주시,퇴계원,경기북부청,남양주,파출소,12119,경기도 남양주시 퇴계원면 퇴계원리 266-9번지,경기도 남양주시 퇴계원면 퇴계원로 58-7,37.65166228,127.1425118
동두천시,생연,경기북부청,동두천,파출소,11331,경기도 동두천시 생연동 814-7번지,경기도 동두천시 생연로 99,37.9014699,127.0502036
동두천시,송내,경기북부청,동두천,지구대,11347,경기도 동두천시 지행동 691-7번지,경기도 동두천시 중앙로 157,37.89555004,127.0520075
동두천시,소요,경기북부청,동두천,파출소,11307,경기도 동두천시 동두천동 252-3번지,경기도 동두천시 평화로 2695,37.92852215,127.0563971
동두천시,광암,경기북부청,동두천,파출소,11321,경기도 동두천시 광암동 495번지,경기도 동두천시 광암로 10,37.89472218,127.08301
동두천시,중앙,경기북부청,동두천,파출소,11310,경기도 동두천시 보산동 405번지,경기도 동두천시 중앙로 393,37.91318631,127.0607073
부천시,성곡,경기남부청,부천오정,파출소,14462,경기도 부천시 여월동 8-36번지,경기도 부천시 삼작로352번길 42,37.51790232,126.8006324
부천시,송내,경기남부청,부천소사,지구대,14734,경기도 부천시 송내동 611-2번지,경기도 부천시 성주로 147,37.4793785,126.7725173
부천시,범박,경기남부청,부천소사,지구대,14783,경기도 부천시 범박동 156번지,경기도 부천시 범안로 131,37.47004723,126.8093753
부천시,중앙,경기남부청,부천원미,지구대,14631,경기도 부천시 심곡동 428-2번지,경기도 부천시 장말로 337,37.49092487,126.7796282
부천시,원미,경기남부청,부천원미,지구대,14567,경기도 부천시 원미동 57번지,경기도 부천시 원미로149번길 4,37.49628792,126.7905699
부천시,역곡,경기남부청,부천원미,지구대,14672,경기도 부천시 역곡동 53-11번지,경기도 부천시 부일로711번길 29,37.48612752,126.8078752
부천시,내동,경기남부청,부천오정,지구대,14451,경기도 부천시 삼정동 196번지,경기도 부천시 신흥로 411,37.52036907,126.7748234
부천시,고강,경기남부청,부천오정,파출소,14403,경기도 부천시 고강동 276-1번지,경기도 부천시 역곡로 519,37.53086537,126.8157122
부천시,원종,경기남부청,부천오정,지구대,14419,경기도 부천시 원종동 233-11번지,경기도 부천시 소사로 778,37.52547824,126.8051257
부천시,약대,경기남부청,부천원미,파출소,14516,경기도 부천시 약대동 97-1번지,경기도 부천시 중동로388번길 6,37.51428764,126.7703289
부천시,계남,경기남부청,부천원미,지구대,14581,경기도 부천시 중동 1184-1번지,경기도 부천시 조마루로 252,37.49772983,126.771545
부천시,상동,경기남부청,부천원미,지구대,14597,경기도 부천시 상동 396-3번지,경기도 부천시 상일로 99,37.49167412,126.7533246
부천시,소사,경기남부청,부천소사,지구대,14690,경기도 부천시 소사본동 51번지,경기도 부천시 경인로 363,37.4823772,126.7959909
부천시,중동,경기남부청,부천원미,지구대,14537,경기도 부천시 중동 1032-1번지,경기도 부천시 석천로 203-16,37.50570355,126.7624953
성남시,신흥,경기남부청,성남수정,지구대,13352,경기도 성남시 수정구 신흥동 3775번지,경기도 성남시 수정구 시민로 150,37.44146969,127.1439623
성남시,수내,경기남부청,분당,파출소,13600,경기도 성남시 분당구 수내동 85번지,경기도 성남시 분당구 불정로 253,37.36658882,127.1261889
성남시,금광,경기남부청,성남중원,지구대,13187,경기도 성남시 중원구 금광동 1944번지,경기도 성남시 중원구 금빛로 33,37.44497054,127.1679598
성남시,대원,경기남부청,성남중원,파출소,13228,경기도 성남시 중원구 상대원동 1437번지,경기도 성남시 중원구 둔촌대로 439,37.4328912,127.16573
성남시,상대원2,경기남부청,성남중원,파출소,13394,경기도 성남시 중원구 상대원동 3154-1번지,경기도 성남시 중원구 희망로 373,37.4390818,127.1585117
성남시,서현,경기남부청,분당,지구대,13588,경기도 성남시 분당구 서현동 89-5번지,경기도 성남시 분당구 중앙공원로31번길 30,37.38216739,127.1261241
성남시,수진,경기남부청,성남수정,지구대,13352,경기도 성남시 수정구 신흥동 3775번지,경기도 성남시 수정구 시민로 150,37.44146969,127.1439623
성남시,고등,경기남부청,성남수정,파출소,13106,경기도 성남시 수정구 시흥동 191번지,경기도 성남시 수정구 대왕판교로 942,37.424194,127.1032367
성남시,산성,경기남부청,성남수정,파출소,13123,경기도 성남시 수정구 산성동 670번지,경기도 성남시 수정구 수정남로 317,37.45616304,127.1528734
성남시,단대,경기남부청,성남수정,파출소,13144,경기도 성남시 수정구 단대동 101-4번지,경기도 성남시 수정구 단대로 15,37.45224581,127.1582112
성남시,중앙,경기남부청,성남수정,파출소,13292,경기도 성남시 수정구 태평동 3498-2번지,경기도 성남시 수정구 수정로 145,37.44238876,127.1361556
성남시,태평4,경기남부청,성남수정,파출소,13279,경기도 성남시 수정구 태평동 7290번지,경기도 성남시 수정구 남문로 128,37.44782539,127.1408777
성남시,수진1,경기남부청,성남수정,파출소,13332,경기도 성남시 수정구 수진동 1921번지,경기도 성남시 수정구 탄리로 21,37.43841256,127.1386005
성남시,성호,경기남부청,성남중원,지구대,13357,경기도 성남시 중원구 성남동 2199번지,경기도 성남시 중원구 산성대로 190-6,37.43602337,127.1399295
성남시,은행,경기남부청,성남중원,파출소,13156,경기도 성남시 중원구 은행동 1417-1번지,경기도 성남시 중원구 은행로25번길 14,37.45547085,127.1653156
성남시,도촌,경기남부청,성남중원,파출소,13420,경기도 성남시 중원구 도촌동 631번지,경기도 성남시 중원구 도촌북로 43,37.41755297,127.1545473
성남시,야탑,경기남부청,분당,지구대,13520,경기도 성남시 분당구 야탑동 505번지,경기도 성남시 분당구 야탑로 76,37.40958391,127.127242
성남시,금곡,경기남부청,분당,지구대,13615,경기도 성남시 분당구 금곡동 173번지,경기도 성남시 분당구 성남대로171번길 12,37.35150603,127.1072707
성남시,서판교,경기남부청,분당,파출소,13466,경기도 성남시 분당구 운중동 938번지,경기도 성남시 분당구 운중로146번길 6,37.3907487,127.0789699
성남시,동판교,경기남부청,분당,파출소,13490,경기도 성남시 분당구 삼평동 716번지,경기도 성남시 분당구 동판교로266번길 24,37.40644192,127.1157388
성남시,구미,경기남부청,분당,파출소,13623,경기도 성남시 분당구 구미동 223번지,경기도 성남시 분당구 구미로 107,37.33933878,127.1206262
성남시,복정,경기남부청,성남수정,파출소,13119,경기도 성남시 수정구 복정동 695번지,경기도 성남시 수정구 복정로 36,37.45610247,127.1274546
수원시,행궁,경기남부청,수원중부,파출소,16256,경기도 수원시 팔달구 남수동 11-841번지,경기도 수원시 팔달구 창룡대로 48,37.28292887,127.0213074
수원시,장안문,경기남부청,수원중부,지구대,16308,경기도 수원시 장안구 조원동 680-6번지,경기도 수원시 장안구 송정로 113,37.29567963,127.0095022
수원시,산남,경기남부청,수원남부,지구대,16527,경기도 수원시 영통구 매탄동 1213-2번지,경기도 수원시 영통구 매영로 93-18,37.26860237,127.0529954
수원시,영통,경기남부청,수원남부,지구대,16709,경기도 수원시 영통구 영통동 1046-2번지,경기도 수원시 영통구 청명로 92,37.2547675,127.0777734
수원시,권선,경기남부청,수원남부,파출소,16571,경기도 수원시 권선구 권선동 1013-23번지,경기도 수원시 권선구 권선로699번길 24-23,37.25977088,127.0295083
수원시,태장,경기남부청,수원남부,파출소,16688,경기도 수원시 영통구 망포동 396-1번지,경기도 수원시 영통구 영통로 143,37.24027293,127.0553658
수원시,매산,경기남부청,수원서부,지구대,16622,경기도 수원시 팔달구 매산로1가 18번지,경기도 수원시 팔달구 덕영대로 924,37.26607203,126.9998381
수원시,고등,경기남부청,수원서부,파출소,16454,경기도 수원시 팔달구 고등동 105-25번지,경기도 수원시 팔달구 고등로 50,37.273019,127.0024535
수원시,서호,경기남부청,수원서부,지구대,16406,경기도 수원시 권선구 구운동 938번지,경기도 수원시 권선구 구운로73번길 18-13,37.28068253,126.9713094
수원시,당수,경기남부청,수원서부,파출소,16375,경기도 수원시 권선구 당수동 159-1번지,경기도 수원시 권선구 당진로32번길 28-4,37.29168151,126.9417915
수원시,노송,경기남부청,수원중부,지구대,16347,경기도 수원시 장안구 파장동 566-14번지,경기도 수원시 장안구 이목로 58,37.31031149,126.9879468
수원시,화서문,경기남부청,수원중부,지구대,16435,경기도 수원시 팔달구 화서동 647-1번지,경기도 수원시 팔달구 수성로182번길 3,37.28670519,126.9931163
수원시,율천,경기남부청,수원중부,파출소,16417,경기도 수원시 장안구 율전동 497-7번지,경기도 수원시 장안구 서부로 2124,37.29790121,126.971618
수원시,창룡문,경기남부청,수원중부,파출소,16221,경기도 수원시 장안구 연무동 254-11번지,경기도 수원시 장안구 경수대로 758,37.29101098,127.0218957
수원시,매탄,경기남부청,수원남부,지구대,16488,경기도 수원시 팔달구 인계동 1117-1번지,경기도 수원시 팔달구 동수원로 403,37.26507515,127.0399157
수원시,곡선,경기남부청,수원남부,지구대,16558,경기도 수원시 권선구 권선동 1268번지,경기도 수원시 권선구 권중로 77,37.25179667,127.0298887
수원시,인계,경기남부청,수원남부,파출소,16484,경기도 수원시 팔달구 인계동 930-1번지,경기도 수원시 팔달구 장다리로 312,37.27565559,127.0313405
수원시,세류,경기남부청,수원남부,파출소,16660,경기도 수원시 권선구 세류동 1167-33번지,경기도 수원시 권선구 정조로 370,37.24265363,127.0152567
수원시,광교,경기남부청,수원남부,파출소,16509,경기도 수원시 영통구 이의동 1347-6번지,경기도 수원시 영통구 에듀타운로 82,37.28854426,127.0476069
수원시,유천,경기남부청,수원서부,파출소,16464,경기도 수원시 팔달구 매교동 77-63번지,경기도 수원시 팔달구 매산로116번길 50,37.26904491,127.0143365
수원시,호매실,경기남부청,수원서부,파출소,16397,경기도 수원시 권선구 금곡동 1119-1번지,경기도 수원시 권선구 금곡로 190,37.27309796,126.9515367
수원시,고색,경기남부청,수원서부,파출소,16649,경기도 수원시 권선구 고색동 146-7번지,경기도 수원시 권선구 매송고색로 750,37.25196076,126.9862338
수원시,동부,경기남부청,수원중부,파출소,16249,경기도 수원시 팔달구 지동 480-6번지,경기도 수원시 팔달구 경수대로 621,37.28084592,127.0295834
시흥시,신천,경기남부청,시흥,파출소,14950,경기도 시흥시 신천동 772-24번지,경기도 시흥시 신천로100번안길 15,37.437518,126.7867473
시흥시,시화,경기남부청,시흥,파출소,15063,경기도 시흥시 정왕동 1785-4번지,경기도 시흥시 중심상가로 271,37.34003224,126.7435807
시흥시,대야,경기남부청,시흥,파출소,14909,경기도 시흥시 대야동 494번지,경기도 시흥시 호현로 42,37.44426399,126.7853832
시흥시,옥구,경기남부청,시흥,지구대,15038,경기도 시흥시 정왕동 1849-7번지,경기도 시흥시 정왕대로118번길 1,37.35113502,126.7286106
시흥시,능곡,경기남부청,시흥,파출소,14992,경기도 시흥시 능곡동 613번지,경기도 시흥시 장현능곡로 211,37.36902469,126.8137443
시흥시,군자,경기남부청,시흥,파출소,15068,경기도 시흥시 거모동 1757-6번지,경기도 시흥시 군자로 513,37.34422495,126.7852996
시흥시,매화,경기남부청,시흥,파출소,14940,경기도 시흥시 매화동 202-1번지,경기도 시흥시 매화로 36,37.41632935,126.8148228
시흥시,정왕,경기남부청,시흥,지구대,15055,경기도 시흥시 정왕동 1800-10번지,경기도 시흥시 정왕신길로 216,37.34866733,126.7410229
시흥시,은행,경기남부청,시흥,파출소,14916,경기도 시흥시 은행동 541-1번지,경기도 시흥시 은행로 148,37.44418166,126.7998818
시흥시,장곡,경기남부청,시흥,지구대,15002,경기도 시흥시 장곡동 793-3번지,경기도 시흥시 장곡로54번길 25-14,37.38188887,126.7813067
안산시,공단,경기남부청,안산단원,파출소,15645,경기도 안산시 단원구 대부북동 294-6번지,경기도 안산시 단원구 대부중앙로 67,37.24495368,126.5825241
안산시,팔곡,경기남부청,안산상록,파출소,15526,경기도 안산시 상록구 팔곡일동 681-1번지,경기도 안산시 상록구 소학길 8,37.29750637,126.8871542
안산시,일동,경기남부청,안산상록,파출소,15323,경기도 안산시 상록구 일동 600-6번지,경기도 안산시 상록구 호동로 118,37.31259203,126.8643554
안산시,수암,경기남부청,안산상록,파출소,15202,경기도 안산시 상록구 수암동 502번지,경기도 안산시 상록구 수인로 2026,37.36391843,126.8763735
안산시,부곡,경기남부청,안산상록,파출소,15306,경기도 안산시 상록구 부곡동 671-11번지,경기도 안산시 상록구 성호로 324,37.33153626,126.8608002
안산시,본오,경기남부청,안산상록,지구대,15532,경기도 안산시 상록구 본오동 877-3번지,경기도 안산시 상록구 상록수로 12,37.30259584,126.8611028
안산시,성포,경기남부청,안산상록,파출소,,경기도 안산시 상록구 예술광장1로 78,,37.30259584,126.8611028
안산시,월피,경기남부청,안산상록,파출소,15259,경기도 안산시 상록구 월피동 512-3번지,경기도 안산시 상록구 안산천서로 215,37.33305872,126.8463203
안산시,본오1,경기남부청,안산상록,파출소,15575,경기도 안산시 상록구 본오동 1153-1번지,경기도 안산시 상록구 샘골로 11,37.28481242,126.8634591
안산시,반월,경기남부청,안산상록,파출소,15520,경기도 안산시 상록구 건건동 47,,37.31909387,126.9061193
안산시,사동,경기남부청,안산상록,지구대,15582,경기도 안산시 상록구 사동 1304-1번지,경기도 안산시 상록구 석호로 175,37.29676301,126.8512452
안산시,신길,경기남부청,안산단원,파출소,15433,경기도 안산시 단원구 원시동 773-6번지,경기도 안산시 단원구 동산로 29,37.31281198,126.7933543
안산시,대부,경기남부청,안산단원,파출소,15380,경기도 안산시 단원구 원곡동 821-3번지,경기도 안산시 단원구 원선로 33,37.32800093,126.7972161
안산시,원곡,경기남부청,안산단원,파출소,15212,경기도 안산시 단원구 선부동 1135번지,경기도 안산시 단원구 선삼로2길 14-20,37.34486669,126.8126086
안산시,선부2,경기남부청,안산단원,파출소,15367,경기도 안산시 단원구 선부동 1072-5번지,경기도 안산시 단원구 선부광장1로 150,37.33192241,126.8091095
안산시,고잔,경기남부청,안산단원,파출소,15473,경기도 안산시 단원구 고잔동 712-3번지,경기도 안산시 단원구 광덕2로 127,37.31016931,126.8247209
안산시,호수,경기남부청,안산단원,지구대,15335,경기도 안산시 단원구 고잔동 514번지,경기도 안산시 단원구 화랑로 373,37.32161842,126.8288569
안산시,원선,경기남부청,안산단원,파출소,15375,경기도 안산시 단원구 원곡동 753번지,경기도 안산시 단원구 원곡공원로 30,37.33255536,126.7945181
안산시,선부3,경기남부청,안산단원,파출소,15220,경기도 안산시 단원구 선부동 703-3번지,경기도 안산시 단원구 선여불로 19,37.34397836,126.8038873
안산시,선부,경기남부청,안산단원,파출소,15245,경기도 안산시 단원구 와동 79-2번지,경기도 안산시 단원구 선부로 323,37.34333308,126.8289422
안산시,와동,경기남부청,안산단원,파출소,15335,경기도 안산시 단원구 고잔동 515번지,경기도 안산시 단원구 화랑로 397,37.32203677,126.8315185
안성시,죽산,경기남부청,안성,파출소,17519,경기도 안성시 죽산면 죽산리 432-7번지,경기도 안성시 죽산면 죽주로 241,37.07485111,127.421973
안성시,보개,경기남부청,안성,파출소,17509,경기도 안성시 보개면 불현리 42-9번지,경기도 안성시 보개면 보개원삼로 220-1,37.02246889,127.2900144
안성시,중앙,경기남부청,안성,지구대,17578,경기도 안성시 석정동 256-2번지,경기도 안성시 석정1길 15,37.00944099,127.2619549
안성시,일죽,경기남부청,안성,파출소,17529,경기도 안성시 일죽면 송천리 20-6번지,경기도 안성시 일죽면 주래본죽로 28,37.09357276,127.4775513
안성시,원곡,경기남부청,안성,파출소,17556,경기도 안성시 원곡면 외가천리 267-4번지,경기도 안성시 원곡면 가천중앙1길 44,37.03915732,127.1292543
안성시,금광,경기남부청,안성,파출소,17535,경기도 안성시 금광면 금광리 93-5번지,경기도 안성시 금광면 금광초교길 38,37.00096695,127.3227268
안성시,내리,경기남부청,안성,파출소,17546,경기도 안성시 대덕면 내리 676-1번지,경기도 안성시 대덕면 대학6길 34,37.00366581,127.2261523
안성시,대덕,경기남부청,안성,파출소,17545,경기도 안성시 대덕면 건지리 420-4번지,경기도 안성시 대덕면 중앙로 78,37.01258262,127.237437
안성시,공도,경기남부청,안성,지구대,17560,경기도 안성시 공도읍 만정리 793-2번지,경기도 안성시 공도읍 공도4로 4,37.00066369,127.1726678
안성시,양성,경기남부청,안성,파출소,17502,경기도 안성시 양성면 동항리 291-3번지,경기도 안성시 양성면 장터길 35,37.05868475,127.1952716
안양시,박달,경기남부청,안양만안,지구대,14008,경기도 안양시 만안구 박달동 94-136번지,경기도 안양시 만안구 박달로 492,37.4022763,126.9070967
안양시,비산,경기남부청,안양동안,지구대,13922,경기도 안양시 동안구 비산동 459-57번지,경기도 안양시 동안구 관악대로 125,37.39902659,126.9379211
안양시,범계,경기남부청,안양동안,파출소,14072,경기도 안양시 동안구 호계동 1051-2번지,경기도 안양시 동안구 평촌대로217번길 57,37.38980749,126.9527896
안양시,안양,경기남부청,안양만안,지구대,13992,경기도 안양시 만안구 안양동 88-1번지,경기도 안양시 만안구 만안로 232,37.40497107,126.9200368
